Response ID,Date submitted,Last page,Start language,Seed,How old are you?,What is your ge.. ,Are you staying.. ,If you're livin.. ,is it within th.. ,How often do yo.. ,What do you thi..  [Sad],What do you thi..  [Normal],What do you thi..  [Frustrated],What do you thi..  [Worried],What do you thi..  [Other],On a scale of 0.. ,Are you stresse.. ,If you're a stu.. ,If you were loo.. ,is it?,Has COVID-19 im.. ,How impactful t.. ,How impactful t..  [Comment],What changes ha..  [Use of screens],What changes ha..  [Physical activity],What changes ha..  [Hours of sleep],Are you stresse.. ,Do you have any.. ,Can we contact .. 
3,1/1/1980 0:00,3,en,1209162136,younger than 18,Female,Alone,No,No,at least once a week,Yes,No,No,No,,1,Yes,Master,Still looking for,,,I have become more lazy,,Increase,Decrease,Increase,,Great and clear survey,Yes with pleasure
5,1/1/1980 0:00,3,en,2051619789,between 25 and 35,Male,Alone,,,at least once a week,No,Yes,No,No,,10,Yes,Master,No,,,No change,,Same,Same,Same,,,Yes with pleasure
6,1/1/1980 0:00,3,en,654701426,between 25 and 35,Male,Alone,No,No,at least once a week,No,No,Yes,No,,5,Yes,Master,Still looking for,,,No change,,Increase,Decrease,Same,,,No thanks
7,1/1/1980 0:00,3,en,1884721302,between 25 and 35,Female,Alone,,,at least once a week,No,No,No,Yes,,4,Yes,,,,,I have become more lazy,,Decrease,Decrease,Increase,,,Yes with pleasure
9,1/1/1980 0:00,3,en,1960924249,between 18 and 25,Male,Alone,No,No,at least once a week,No,No,Yes,No,,6,No,Master,Yes,paid,"no, I still have a job",I have become more lazy,,Increase,Decrease,Decrease,,,Yes with pleasure
10,1/1/1980 0:00,3,en,1507635529,between 18 and 25,Male,Alone,,,once in two weeks,Yes,No,Yes,No,,6,No,Master,Still looking for,,,I have become more lazy,,Increase,Decrease,Increase,,,No thanks
11,1/1/1980 0:00,3,en,649373104,between 25 and 35,Male,Family,Yes,,at least once a week,No,Yes,No,No,,4,Yes,Licence,Still looking for,,"no, I still have a job",Feeling more productive,Iam active in deffrent things,Decrease,Increase,Same,,,Yes with pleasure
13,1/1/1980 0:00,3,en,1308586631,between 25 and 35,Male,Alone,,,at least once a week,No,No,No,Yes,,3,Yes,Master,No,,"yes, I Iost my previous job",I have become more lazy,,Increase,Decrease,Increase,,,Yes with pleasure
15,1/1/1980 0:00,3,en,365177282,between 25 and 35,I prefer not to answer,Alone,,,at least once a week,Yes,No,No,No,,0,No,,,,,I have become more lazy,,Same,Same,Same,,,No thanks
17,1/1/1980 0:00,3,en,802081103,between 25 and 35,Female,Alone,No,No,once in three weeks,No,Yes,No,No,,3,No,Master,Yes,paid,"no, I still have a job",No change,,Increase,Increase,Increase,,Nothing,Yes with pleasure
18,1/1/1980 0:00,3,en,1727958645,between 25 and 35,Male,Alone,No,No,once in two weeks,No,No,No,No, Unique opportunity ,3,No,Master,Still looking for,,,Feeling more productive,On some days it’s more productive. And on some days it is less productive. Overall I think it takes time to get used to. ,Increase,Decrease,Increase,"Staying productive and positive and using this opportunity during quarantine, well. ",,No thanks
19,1/1/1980 0:00,3,en,821384908,between 18 and 25,Male,Family,,,at least once a week,No,No,Yes,No,,5,No,Master,,,"yes, I Iost my previous job",I have become more lazy,,Increase,Decrease,Increase,,,Yes with pleasure
20,1/1/1980 0:00,3,en,965358741,between 18 and 25,Female,Alone,No,No,at least once a week,No,No,No,Yes,,4,No,Licence,,,,I have become more lazy,,Decrease,Decrease,Increase,,,Yes with pleasure
21,1/1/1980 0:00,3,en,1630198355,between 18 and 25,Female,Alone,No,No,once in two weeks,Yes,No,Yes,No,Angry,9,Yes,Master,Yes,paid,,Feeling more productive,But more lonely,Increase,Decrease,Decrease,,,No thanks
22,1/1/1980 0:00,3,en,1319527993,between 18 and 25,Female,Alone,No,No,in more than a month,No,No,Yes,No,,10,No,Master,,,,No change,,Increase,Decrease,Same,,,No thanks
27,1/1/1980 0:00,3,en,251507424,between 25 and 35,Male,Alone,,,at least once a week,No,No,No,Yes,,7,Yes,Licence,Still looking for,,"no, I still have a job",Feeling more productive,,Increase,Decrease,Same,Adaptation,No,Yes with pleasure
28,1/1/1980 0:00,3,en,1506781209,between 18 and 25,Male,Alone,No,No,once in two weeks,No,No,Yes,No,,7,No,Master,Still looking for,,,I have become more lazy,,Increase,Decrease,Same,,,Yes with pleasure
29,1/1/1980 0:00,3,en,1421430215,between 18 and 25,Male,Alone,,,at least once a week,Yes,No,Yes,Yes,,3,No,Licence,,,"no, I still have a job",No change,,Same,Decrease,Same,,,Yes with pleasure
30,1/1/1980 0:00,3,en,1539150360,between 25 and 35,Male,Alone,,,at least once a week,No,No,No,Yes,No,4,No,Licence,,,,I have become more lazy,I lost my motivition ,Decrease,Decrease,Decrease,No ,No,Yes with pleasure
31,1/1/1980 0:00,3,en,2022161907,between 25 and 35,I prefer not to answer,Alone,,,in more than a month,Yes,No,No,No,,7,Yes,,,,"no, I still have a job",I have become more lazy,,Increase,Decrease,Increase,,,No thanks
32,1/1/1980 0:00,3,en,1133602576,between 25 and 35,Male,Family,Yes,,once in three weeks,No,Yes,No,No,,0,No,Licence,No,,"no, I still have a job",No change,,Same,Same,Same,,,No thanks
33,1/1/1980 0:00,3,en,149668069,older than 45,Male,Friends,No,No,at least once a week,Yes,No,No,No,,8,No,,,,"no, I still have a job",No change,,Increase,Same,Same,,No worried,Yes with pleasure
34,1/1/1980 0:00,3,en,1778423763,between 18 and 25,Female,Alone,No,No,at least once a week,No,Yes,No,No,,3,No,,Still looking for,,,I have become more lazy,,Increase,Decrease,Decrease,,,No thanks
35,1/1/1980 0:00,3,en,988934445,between 18 and 25,Female,Friends,No,No,at least once a week,No,Yes,No,Yes,,3,No,,,,"no, I still have a job",I have become more lazy,,Increase,Decrease,Increase,,,No thanks
36,1/1/1980 0:00,3,en,1585059642,between 25 and 35,Male,Alone,No,No,once in two weeks,No,Yes,No,No,,4,No,Master,Still looking for,,,No change,,Decrease,Increase,Same,not getting a job,,No thanks
37,1/1/1980 0:00,3,en,886496302,between 18 and 25,Female,Alone,,,at least once a week,No,Yes,No,No,,5,Yes,Licence,,,,No change,,Increase,Decrease,Increase,,,Yes with pleasure
38,1/1/1980 0:00,3,en,1447216194,between 25 and 35,Male,Family,,,in more than a month,Yes,No,Yes,Yes,,0,Yes,Master,Still looking for,,"yes, I Iost my previous job",No change,,Decrease,Decrease,Increase,Rent and daily stress ,,Yes with pleasure
39,1/1/1980 0:00,3,en,730100559,between 18 and 25,Female,Alone,,,once in two weeks,No,No,Yes,No,,6,Yes,Master,No,,"yes, I Iost my previous job",I have become more lazy,,Increase,Decrease,Increase,,,Yes with pleasure
40,1/1/1980 0:00,3,en,2053688277,between 18 and 25,Male,Alone,No,No,at least once a week,Yes,No,Yes,Yes,,7,No,Licence,Still looking for,,,No change,,Increase,Decrease,Decrease,,,Yes with pleasure
41,1/1/1980 0:00,3,en,1733863998,between 18 and 25,Female,Alone,No,Yes,at least once a week,Yes,No,Yes,Yes,,8,No,Licence,Still looking for,,,I have become more lazy,,Increase,Decrease,Same,,,Yes with pleasure
42,1/1/1980 0:00,3,en,282072129,between 25 and 35,Male,Friends,No,Yes,at least once a week,Yes,No,No,No,Annoyed ,0,No,Master,,,"yes, I Iost my previous job",I have become more lazy,,Increase,Increase,Increase,,,No thanks
43,1/1/1980 0:00,3,en,580059709,between 25 and 35,Male,Alone,No,No,at least once a week,No,Yes,No,No,,3,No,PhD,No,,"no, I still have a job",I have become more lazy,,Increase,Same,Increase,,,Yes with pleasure
48,1/1/1980 0:00,3,en,666926987,between 25 and 35,Male,Alone,,,at least once a week,No,No,Yes,No,,6,Yes,Master,Still looking for,,,I have become more lazy,,Decrease,Decrease,Decrease,Finding a job/internship,,Yes with pleasure
49,1/1/1980 0:00,3,en,1075724560,between 18 and 25,Female,Alone,,,at least once a week,Yes,No,Yes,No,,2,Yes,Licence,No,,,I have become more lazy,,Increase,Decrease,Increase,,,Yes with pleasure
50,1/1/1980 0:00,3,en,1962804324,between 18 and 25,Male,Family,Yes,,at least once a week,Yes,No,No,No,,3,No,Licence,,,"yes, I Iost my previous job",I have become more lazy,,Increase,Increase,Increase,"Stressed about others not feeling ok! i might have been in a decent situation pre covid, but i know others may have not been!",,No thanks
51,1/1/1980 0:00,3,en,1376862547,between 18 and 25,Female,Alone,,,at least once a week,No,No,Yes,No,,6,No,,Still looking for,,,I have become more lazy,,Increase,Decrease,Increase,,,Yes with pleasure
